dataset_key,dataset_label,m,n,sep,regime,sigma,gamma,seed,auc,alm_iter,alm_time,L_final
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,42,0.7830222222222223,2,0.17103910446166992,0.22580787336823718
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,99,0.7303111111111111,2,0.16808485984802246,0.2258297001334868
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,7,0.7872,2,0.16022300720214844,0.19943309147729435
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,2,0.7662666666666668,2,0.1797950267791748,0.2166135442474868
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,1034,0.7903111111111111,2,0.22871899604797363,0.2247693876136938
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,1234,0.7526666666666667,2,0.24864697456359863,0.21208562889649923
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,42,0.7834222222222222,2,0.18127107620239258,0.2304425359860698
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,99,0.7306666666666667,2,0.2627389430999756,0.2280882037654156
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,7,0.7876444444444445,2,0.21729302406311035,0.20220296298190554
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,2,0.7655555555555557,2,0.2180778980255127,0.21906914994384286
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,1034,0.7910222222222223,2,0.18634986877441406,0.22786775273145532
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,1234,0.7525777777777778,2,0.18272686004638672,0.215116048503342
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,42,0.7838666666666667,2,0.2913641929626465,0.23383027012313543
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,99,0.7309777777777777,2,0.18514394760131836,0.23116220973706197
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,7,0.7865777777777777,2,0.23532581329345703,0.20472861773011858
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,2.0,0.5,2,0.7653333333333332,2,0.2433018684387207,0.22191408373282684
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,1034,0.7678571428571428,13,0.25013184547424316,0.22549019607843138
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,1234,0.7321428571428571,8,0.21551012992858887,0.20915032679738563
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,42,0.8214285714285714,14,0.3112170696258545,0.12745098039215685
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,99,0.7857142857142857,9,0.2858099937438965,0.06862745098039216
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,7,0.7142857142857142,16,0.402144193649292,0.06535947712418301
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.1,10.0,2,0.8571428571428572,15,0.3516428470611572,0.21241830065359477
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,1034,0.8035714285714286,18,0.42789602279663086,0.042483660130718956
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,1234,0.7678571428571428,17,0.38546037673950195,0.05228758169934641
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,42,0.8214285714285714,7,0.05161690711975098,0.16666666666666669
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,99,0.7857142857142857,7,0.07449197769165039,0.07189542483660132
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,7,0.75,7,0.1354680061340332,0.13398692810457516
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.25,4.0,2,0.48214285714285715,21,0.5497689247131348,0.0196078431372549
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,1034,0.5714285714285714,20,0.4889228343963623,0.14052287581699346
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,1234,0.75,7,0.051080942153930664,0.19281045751633988
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,42,0.8214285714285714,11,0.20500874519348145,0.07189542483660132
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,99,0.7857142857142857,7,0.07862401008605957,0.06862745098039216
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,7,0.75,10,0.20450997352600098,0.10457516339869281
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,0.5,2.0,2,0.6964285714285714,20,0.5330569744110107,0.06209150326797386
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,1034,0.7857142857142857,7,0.07793998718261719,0.19934640522875818
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,1234,0.75,7,0.0548100471496582,0.18627450980392157
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,42,0.8214285714285714,10,0.13671088218688965,0.08169934640522876
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,99,0.7857142857142857,9,0.13970208168029785,0.03594771241830066
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,7,0.6964285714285714,11,0.19622182846069336,0.06209150326797386
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,1.0,1.0,2,0.8392857142857143,11,0.19513607025146484,0.17647058823529413
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,1034,0.7321428571428571,14,0.2600901126861572,0.0196078431372549
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,1234,0.75,7,0.0524289608001709,0.18627450980392157
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,42,0.8214285714285714,10,0.1334528923034668,0.05555555555555556
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,99,0.75,10,0.12390494346618652,0.026143790849673203
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,7,0.625,16,0.31405115127563477,0.016339869281045753
PI3_lowsep_mlln,PI3 low-sep  m<<n,50,500,low,m<<n,2.0,0.5,2,0.5535714285714286,23,0.38707995414733887,0.19934640522875818
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,1034,1.0,2,0.22620487213134766,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,1234,1.0,2,0.1016240119934082,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,42,1.0,2,0.1355440616607666,6.422664857945804e-05
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,99,0.9999555555555555,2,0.14902615547180176,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,7,1.0,2,0.09553909301757812,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.1,10.0,2,1.0,2,0.09585189819335938,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,1034,1.0,2,0.09635090827941895,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,1234,1.0,2,0.09677410125732422,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,42,1.0,2,0.12363815307617188,7.878424701115624e-05
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,99,0.9999555555555555,2,0.09617018699645996,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,7,1.0,2,0.09670090675354004,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.25,4.0,2,1.0,2,0.09591197967529297,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,1034,1.0,2,0.09598278999328613,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,1234,1.0,2,0.09593987464904785,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,42,1.0,2,0.18002915382385254,9.215319381349151e-05
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,99,0.9999555555555555,2,0.0965719223022461,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,7,1.0,2,0.0962221622467041,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,0.5,2.0,2,1.0,2,0.0963127613067627,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,1034,1.0,2,0.09691405296325684,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,1234,1.0,2,0.09634613990783691,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,42,1.0,2,0.19620776176452637,0.00010085261054933116
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,99,0.9999555555555555,2,0.09614205360412598,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,7,1.0,2,0.09606766700744629,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,1.0,1.0,2,1.0,2,0.09611296653747559,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,1034,1.0,2,0.09584712982177734,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,1234,1.0,2,0.09673905372619629,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,42,1.0,2,0.15875887870788574,0.00010672022496806233
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,99,0.9999555555555555,2,0.0958719253540039,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,7,1.0,2,0.0963141918182373,0.0
PI4_highsep_mggn,PI4 high-sep m>>n,1000,50,high,m>>n,2.0,0.5,2,1.0,2,0.09640812873840332,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,1034,1.0,2,0.002095937728881836,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,1234,1.0,2,0.001705169677734375,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,42,1.0,2,0.001434326171875,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,99,1.0,2,0.002052783966064453,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,7,1.0,2,0.0016641616821289062,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.1,10.0,2,1.0,2,0.0017108917236328125,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,1034,1.0,2,0.0017971992492675781,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,1234,1.0,2,0.001631021499633789,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,42,1.0,2,0.0017211437225341797,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,99,1.0,2,0.0018589496612548828,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,7,1.0,2,0.0017638206481933594,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.25,4.0,2,1.0,2,0.0018842220306396484,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,1034,1.0,2,0.002125978469848633,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,1234,1.0,2,0.0018620491027832031,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,42,1.0,2,0.0019483566284179688,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,99,1.0,2,0.001993894577026367,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,7,1.0,2,0.0019268989562988281,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,0.5,2.0,2,1.0,2,0.0021228790283203125,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,1034,1.0,2,0.0021550655364990234,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,1234,1.0,2,0.0027048587799072266,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,42,1.0,2,0.002574920654296875,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,99,1.0,2,0.0027480125427246094,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,7,1.0,2,0.003480195999145508,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,1.0,1.0,2,1.0,2,0.0030469894409179688,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,1034,1.0,2,0.003050088882446289,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,1234,1.0,2,0.0035240650177001953,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,42,1.0,2,0.002585887908935547,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,99,1.0,2,0.002657175064086914,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,7,1.0,2,0.002694845199584961,0.0
PI6_highsep_mlln,PI6 high-sep m<<n,50,500,high,m<<n,2.0,0.5,2,1.0,2,0.002624988555908203,0.0
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,1034,0.7957175925925924,6,0.0920100212097168,0.260526489656071
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,1234,0.7102623456790124,6,0.1341712474822998,0.2513007415476479
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,42,0.7660108024691358,6,0.09040498733520508,0.2585904072893807
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,99,0.7768132716049382,6,0.09063410758972168,0.2594174240028652
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,7,0.7498070987654322,6,0.08851265907287598,0.2491201089707
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.1,10.0,2,0.7885802469135803,6,0.09168505668640137,0.29618149312482034
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,1034,0.7962962962962963,4,0.06162381172180176,0.24473271211629255
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,1234,0.7083333333333334,4,0.062026023864746094,0.23045281185015432
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,42,0.767361111111111,5,0.11726689338684082,0.23641412580758947
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,99,0.7787422839506174,4,0.062394142150878906,0.24116976800805465
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,7,0.7494212962962963,4,0.07519793510437012,0.23740062661814645
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.25,4.0,2,0.7941743827160493,4,0.0665280818939209,0.2793028041522777
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,1034,0.7964891975308642,3,0.05054807662963867,0.23702865085805983
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,1234,0.7064043209876543,3,0.049546003341674805,0.21998923774409573
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,42,0.7685185185185185,4,0.06525516510009766,0.22503962967867902
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,99,0.779128086419753,4,0.06767892837524414,0.23495117412132982
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,7,0.746141975308642,3,0.04943370819091797,0.2310433208811165
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,0.5,2.0,2,0.795138888888889,3,0.06460690498352051,0.27012613633345556
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,1034,0.796875,2,0.05058479309082031,0.22966679215708422
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,1234,0.7038966049382717,3,0.06845593452453613,0.2143775870250024
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,42,0.7698688271604939,2,0.06641316413879395,0.21047280386803402
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,99,0.7789351851851852,2,0.06159210205078125,0.22332666338443977
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,7,0.7457561728395062,2,0.052590131759643555,0.22500814700429345
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,1.0,1.0,2,0.7964891975308642,3,0.05618000030517578,0.2650075683587751
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,1034,0.796682098765432,2,0.12657833099365234,0.23212965667559723
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,1234,0.7033179012345679,2,0.05140209197998047,0.21292029135756355
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,42,0.769483024691358,2,0.04540109634399414,0.2128509806875728
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,99,0.7779706790123456,2,0.060373783111572266,0.22633328512571385
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,7,0.7459490740740741,2,0.04365706443786621,0.22733448334607975
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),600,50,low,m>>n,2.0,0.5,2,0.7972608024691359,2,0.04433107376098633,0.2637033459242657
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,1034,0.9996141975308642,2,0.022120237350463867,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,1234,1.0,2,0.022279024124145508,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,42,1.0,2,0.021949052810668945,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,99,0.9998070987654322,2,0.022124767303466797,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,7,1.0,2,0.02231001853942871,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.1,10.0,2,1.0,3,0.03174996376037598,3.992997339622983e-05
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,1034,0.9996141975308642,2,0.023108243942260742,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,1234,1.0,2,0.022926807403564453,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,42,1.0,2,0.023025989532470703,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,99,0.9998070987654322,2,0.024547100067138672,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,7,1.0,2,0.02294325828552246,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.25,4.0,2,1.0,2,0.029117107391357422,4.094776123491944e-05
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,1034,0.9996141975308642,2,0.022878170013427734,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,1234,1.0,2,0.022240161895751953,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,42,1.0,2,0.022047042846679688,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,99,0.9998070987654322,2,0.022947072982788086,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,7,1.0,2,0.02230691909790039,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,0.5,2.0,2,1.0,2,0.028562068939208984,4.634569612645139e-05
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,1034,0.9996141975308642,2,0.024682044982910156,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,1234,1.0,2,0.026491880416870117,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,42,1.0,2,0.026087045669555664,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,99,0.9998070987654322,2,0.03128480911254883,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,7,1.0,2,0.02737712860107422,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,1.0,1.0,2,1.0,2,0.03821396827697754,5.565053158984554e-05
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,1034,0.9996141975308642,2,0.03268790245056152,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,1234,1.0,2,0.031065702438354492,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,42,1.0,2,0.031391143798828125,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,99,0.9998070987654322,2,0.027682065963745117,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,7,1.0,2,0.024072885513305664,0.0
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),600,50,high,m>>n,2.0,0.5,2,1.0,2,0.04163813591003418,5.886509628260529e-05
